Epoch,Train_Loss,Test_Acc,Test_F1,Train_Acc,Eval_Loss,Eval_Acc
0,3.57,75.0,78.29,55.37,0.58,74.25
1,0.57,81.75,83.24,72.85,0.41,81.92
2,0.34,86.67,87.1,85.58,0.32,86.92
3,0.21,89.08,89.18,92.52,0.29,89.0
4,0.13,89.67,89.49,95.92,0.3,88.25
5,0.08,90.92,91.0,97.7,0.28,89.92
6,0.06,90.25,90.26,98.47,0.29,89.75
7,0.04,90.67,90.67,98.84,0.3,90.42
8,0.03,90.67,90.77,99.15,0.34,90.67
9,0.03,90.5,90.47,99.22,0.34,90.33
10,0.03,91.0,91.13,99.19,0.36,90.58
11,0.03,91.0,90.95,99.28,0.37,90.25
12,0.03,89.83,89.48,99.3,0.44,89.08
13,0.03,90.92,91.0,99.35,0.39,91.0
14,0.03,91.25,91.06,99.39,0.38,89.58
15,0.03,90.92,91.07,99.42,0.34,90.75
16,0.02,91.17,91.06,99.42,0.38,90.08
17,0.03,91.17,91.33,99.42,0.37,92.08
18,0.03,90.08,90.75,99.42,0.38,90.83
19,0.02,90.75,91.07,99.42,0.43,91.33
20,0.02,90.75,91.1,99.5,0.41,91.0
21,0.02,91.17,91.23,99.52,0.38,90.75
22,0.03,90.5,90.61,99.42,0.41,90.5
23,0.02,91.08,91.22,99.48,0.38,90.5
24,0.02,91.17,91.24,99.56,0.42,90.17
25,0.02,90.92,90.89,99.56,0.46,89.67
26,0.02,90.67,90.6,99.53,0.43,89.58
27,0.02,90.83,90.61,99.54,0.4,89.08
28,0.02,91.08,91.08,99.53,0.39,90.17
29,0.02,90.67,90.52,99.62,0.41,89.75
30,0.02,91.0,91.36,99.56,0.39,91.25
31,0.03,90.92,91.04,99.6,0.41,89.58
Max,,91.25,91.36,,,92.08
Epoch,Train_Loss,Test_Acc,Test_F1,Train_Acc,Eval_Loss,Eval_Acc
Param:,0.46M,Flops:,0.09G
