Epoch,Train_Loss,Test_Acc,Test_F1,Train_Acc,Eval_Loss,Eval_Acc
0,1.19,50.67,67.26,49.53,0.81,49.42
1,0.75,49.33,0.0,49.4,0.76,50.67
2,0.69,62.92,45.8,54.33,0.64,62.0
3,0.55,76.92,76.7,73.08,0.48,77.08
4,0.4,83.17,82.97,82.36,0.39,83.67
5,0.26,88.33,88.52,90.38,0.31,89.17
6,0.17,86.67,87.48,94.61,0.29,87.83
7,0.1,88.33,88.67,96.87,0.31,89.25
8,0.07,88.58,88.98,98.04,0.3,88.75
9,0.05,89.5,89.79,98.79,0.31,89.83
10,0.03,90.17,90.31,99.18,0.31,90.67
11,0.03,88.92,89.27,99.34,0.39,88.92
12,0.02,89.0,89.54,99.4,0.41,89.33
13,0.02,89.58,89.66,99.44,0.42,89.42
14,0.01,89.08,89.29,99.61,0.42,89.83
15,0.02,89.5,89.69,99.49,0.39,88.83
16,0.02,89.92,90.19,99.46,0.41,89.75
17,0.01,88.83,89.48,99.57,0.39,89.0
18,0.01,89.83,90.18,99.58,0.41,89.67
19,0.01,87.75,87.27,99.63,0.54,86.75
20,0.02,89.0,89.22,99.32,0.47,87.67
21,0.02,89.0,88.89,99.29,0.49,87.25
22,0.02,88.92,88.68,99.26,0.45,87.25
23,0.03,88.67,88.72,99.15,0.45,89.0
24,0.02,89.0,89.18,99.44,0.45,89.33
25,0.01,89.08,89.29,99.57,0.47,88.25
26,0.01,88.92,89.02,99.64,0.47,88.75
27,0.01,88.25,88.82,99.67,0.5,88.25
28,0.01,88.83,89.11,99.67,0.51,89.17
29,0.01,88.42,88.87,99.69,0.51,88.92
30,0.01,88.58,89.01,99.69,0.52,88.92
31,0.01,88.5,88.87,99.7,0.54,88.92
Max,,90.17,90.31,,,90.67
Param:,1.14M,Flops:,0.23G
