Epoch,Train_Loss,Test_Acc,Test_F1,Train_Acc,Eval_Loss,Eval_Acc
0,0.69,71.67,74.32,59.12,0.59,70.5
1,0.52,79.08,77.16,75.05,0.51,77.33
2,0.4,85.5,86.01,82.88,0.39,81.92
3,0.31,88.17,88.59,87.9,0.34,85.67
4,0.23,89.67,89.72,91.79,0.29,87.33
5,0.15,88.92,88.72,94.6,0.35,87.92
6,0.13,91.42,91.48,95.46,0.3,89.17
7,0.09,90.33,90.51,96.95,0.32,90.33
8,0.07,89.5,89.41,97.68,0.43,88.33
9,0.06,90.08,90.11,98.14,0.38,89.42
10,0.05,90.92,90.82,98.26,0.48,89.92
11,0.04,90.75,90.65,98.59,0.47,89.42
12,0.05,90.67,90.43,98.47,0.52,88.75
13,0.04,89.83,89.34,98.91,0.64,87.67
14,0.03,90.92,90.89,99.05,0.43,90.58
15,0.03,90.33,90.24,99.22,0.58,89.42
16,0.04,91.17,91.17,98.63,0.49,89.33
17,0.03,90.5,90.32,99.04,0.48,89.08
18,0.03,90.83,90.53,99.01,0.64,88.92
19,0.02,90.08,89.77,99.1,0.61,89.08
20,0.02,89.33,88.81,99.4,0.74,87.5
21,0.02,92.0,92.03,99.23,0.52,89.75
22,0.02,90.5,90.39,99.4,0.51,89.67
23,0.02,91.0,90.95,99.35,0.6,89.83
24,0.01,90.67,90.48,99.35,0.53,90.08
25,0.01,90.17,89.93,99.52,0.65,89.67
26,0.01,90.58,90.38,99.48,0.62,90.0
27,0.02,90.08,89.91,99.42,0.67,89.08
28,0.02,89.67,89.54,99.32,0.54,89.08
29,0.03,89.25,88.89,98.82,0.74,87.75
30,0.03,89.58,89.2,98.92,0.55,88.58
31,0.02,89.67,89.29,99.28,0.7,89.42
Max,,92.0,92.03,,,90.58
Param:,2.75M,Flops:,0.55G
