Epoch,Train_Loss,Test_Acc,Test_F1,Train_Acc,Eval_Loss,Eval_Acc
0,0.73,52.0,67.53,50.58,0.69,50.58
1,0.69,52.17,67.64,52.29,0.69,50.33
2,0.68,52.33,67.79,50.81,0.7,50.58
3,0.67,52.42,67.87,52.47,0.7,50.67
4,0.67,52.42,67.9,52.54,0.71,50.75
5,0.67,52.5,67.94,52.53,0.73,50.58
6,0.67,52.5,67.94,52.7,0.71,50.67
7,0.67,52.42,67.9,52.74,0.7,50.83
8,0.67,50.17,63.89,52.15,0.72,48.75
9,0.67,57.08,41.01,53.9,0.7,57.67
10,0.63,73.83,72.21,64.49,0.62,69.67
11,0.52,77.5,76.23,76.86,0.58,75.08
12,0.43,81.0,82.65,81.28,0.45,80.67
13,0.38,80.0,82.63,84.2,0.49,79.58
14,0.35,79.33,76.02,86.84,0.55,78.67
15,0.3,84.83,85.56,88.68,0.43,83.92
16,0.26,81.92,80.04,90.79,0.57,81.08
17,0.24,85.83,85.93,92.02,0.45,85.75
18,0.2,86.0,85.88,92.89,0.38,86.25
19,0.2,87.25,87.0,93.23,0.42,84.83
20,0.18,86.08,85.44,94.04,0.5,84.75
21,0.16,86.08,86.16,94.25,0.45,85.5
22,0.15,87.83,88.11,95.44,0.4,87.42
23,0.14,88.0,88.27,95.36,0.43,87.75
24,0.13,87.42,87.71,95.74,0.43,87.33
25,0.11,86.42,87.03,96.75,0.41,87.0
26,0.1,88.0,88.25,96.99,0.41,87.5
27,0.09,88.92,89.21,97.32,0.46,87.92
28,0.09,88.17,88.84,97.23,0.42,88.0
29,0.08,88.0,88.22,97.73,0.46,88.08
30,0.07,89.0,89.23,97.82,0.48,87.83
31,0.07,89.83,90.11,97.89,0.43,87.5
Max,,89.83,90.11,,,88.08
Param:,0.84M,Flops:,0.17G
